Issue_time,Forecast_time,RTO
2020-05-31 09:22:49-04:00,2020-06-01 00:00:00-04:00,9220.0
2020-05-31 09:22:49-04:00,2020-06-01 01:00:00-04:00,8820.0
2020-05-31 09:22:49-04:00,2020-06-01 02:00:00-04:00,8640.0
2020-05-31 09:22:49-04:00,2020-06-01 03:00:00-04:00,8650.0
2020-05-31 09:22:49-04:00,2020-06-01 04:00:00-04:00,8899.999
2020-05-31 09:22:49-04:00,2020-06-01 05:00:00-04:00,9380.001
2020-05-31 09:22:49-04:00,2020-06-01 06:00:00-04:00,10100.001
2020-05-31 09:22:49-04:00,2020-06-01 07:00:00-04:00,10520.001
2020-05-31 09:22:49-04:00,2020-06-01 08:00:00-04:00,10479.999
2020-05-31 09:22:49-04:00,2020-06-01 09:00:00-04:00,10380.0
2020-05-31 09:22:49-04:00,2020-06-01 10:00:00-04:00,10410.0
2020-05-31 09:22:49-04:00,2020-06-01 11:00:00-04:00,10469.999
2020-05-31 09:22:49-04:00,2020-06-01 12:00:00-04:00,10589.999
2020-05-31 09:22:49-04:00,2020-06-01 13:00:00-04:00,10670.0
2020-05-31 09:22:49-04:00,2020-06-01 14:00:00-04:00,10580.0
2020-05-31 09:22:49-04:00,2020-06-01 15:00:00-04:00,10880.0
2020-05-31 09:22:49-04:00,2020-06-01 16:00:00-04:00,11299.999
2020-05-31 09:22:49-04:00,2020-06-01 17:00:00-04:00,12230.001
2020-05-31 09:22:49-04:00,2020-06-01 18:00:00-04:00,12680.002
2020-05-31 09:22:49-04:00,2020-06-01 19:00:00-04:00,12800.001
2020-05-31 09:22:49-04:00,2020-06-01 20:00:00-04:00,12510.001
2020-05-31 09:22:49-04:00,2020-06-01 21:00:00-04:00,11920.001
2020-05-31 09:22:49-04:00,2020-06-01 22:00:00-04:00,10909.999
2020-05-31 09:22:49-04:00,2020-06-01 23:00:00-04:00,9980.001
2020-06-01 09:44:12-04:00,2020-06-02 00:00:00-04:00,9360.0
2020-06-01 09:44:12-04:00,2020-06-02 01:00:00-04:00,8950.0
2020-06-01 09:44:12-04:00,2020-06-02 02:00:00-04:00,8740.0
2020-06-01 09:44:12-04:00,2020-06-02 03:00:00-04:00,8720.001
2020-06-01 09:44:12-04:00,2020-06-02 04:00:00-04:00,8930.002
2020-06-01 09:44:12-04:00,2020-06-02 05:00:00-04:00,9420.0
2020-06-01 09:44:12-04:00,2020-06-02 06:00:00-04:00,10350.0
2020-06-01 09:44:12-04:00,2020-06-02 07:00:00-04:00,11020.001
2020-06-01 09:44:12-04:00,2020-06-02 08:00:00-04:00,11160.0
2020-06-01 09:44:12-04:00,2020-06-02 09:00:00-04:00,11210.0
2020-06-01 09:44:12-04:00,2020-06-02 10:00:00-04:00,11280.0
2020-06-01 09:44:12-04:00,2020-06-02 11:00:00-04:00,11460.0
2020-06-01 09:44:12-04:00,2020-06-02 12:00:00-04:00,11520.0
2020-06-01 09:44:12-04:00,2020-06-02 13:00:00-04:00,11670.0
2020-06-01 09:44:12-04:00,2020-06-02 14:00:00-04:00,11530.0
2020-06-01 09:44:12-04:00,2020-06-02 15:00:00-04:00,11730.0
2020-06-01 09:44:12-04:00,2020-06-02 16:00:00-04:00,12050.0
2020-06-01 09:44:12-04:00,2020-06-02 17:00:00-04:00,12680.0
2020-06-01 09:44:12-04:00,2020-06-02 18:00:00-04:00,13050.0
2020-06-01 09:44:12-04:00,2020-06-02 19:00:00-04:00,12910.001
2020-06-01 09:44:12-04:00,2020-06-02 20:00:00-04:00,12779.999
