Issue_time,Forecast_time,NYISO
2011-06-30 12:00:00-04:00,2011-07-01 00:00:00-04:00,17756
2011-06-30 12:00:00-04:00,2011-07-01 01:00:00-04:00,16197
2011-06-30 12:00:00-04:00,2011-07-01 02:00:00-04:00,15194
2011-06-30 12:00:00-04:00,2011-07-01 03:00:00-04:00,14643
2011-06-30 12:00:00-04:00,2011-07-01 04:00:00-04:00,14535
2011-06-30 12:00:00-04:00,2011-07-01 05:00:00-04:00,14948
2011-06-30 12:00:00-04:00,2011-07-01 06:00:00-04:00,15898
2011-06-30 12:00:00-04:00,2011-07-01 07:00:00-04:00,17718
2011-06-30 12:00:00-04:00,2011-07-01 08:00:00-04:00,19350
2011-06-30 12:00:00-04:00,2011-07-01 09:00:00-04:00,20602
2011-06-30 12:00:00-04:00,2011-07-01 10:00:00-04:00,21583
2011-06-30 12:00:00-04:00,2011-07-01 11:00:00-04:00,22296
2011-06-30 12:00:00-04:00,2011-07-01 12:00:00-04:00,22729
2011-06-30 12:00:00-04:00,2011-07-01 13:00:00-04:00,23164
2011-06-30 12:00:00-04:00,2011-07-01 14:00:00-04:00,23439
2011-06-30 12:00:00-04:00,2011-07-01 15:00:00-04:00,23673
2011-06-30 12:00:00-04:00,2011-07-01 16:00:00-04:00,23813
2011-06-30 12:00:00-04:00,2011-07-01 17:00:00-04:00,23596
2011-06-30 12:00:00-04:00,2011-07-01 18:00:00-04:00,22885
2011-06-30 12:00:00-04:00,2011-07-01 19:00:00-04:00,21991
2011-06-30 12:00:00-04:00,2011-07-01 20:00:00-04:00,21418
2011-06-30 12:00:00-04:00,2011-07-01 21:00:00-04:00,21443
2011-06-30 12:00:00-04:00,2011-07-01 22:00:00-04:00,20520
2011-06-30 12:00:00-04:00,2011-07-01 23:00:00-04:00,19176
2011-07-01 12:00:00-04:00,2011-07-02 00:00:00-04:00,17809
2011-07-01 12:00:00-04:00,2011-07-02 01:00:00-04:00,16816
2011-07-01 12:00:00-04:00,2011-07-02 02:00:00-04:00,15953
2011-07-01 12:00:00-04:00,2011-07-02 03:00:00-04:00,15395
2011-07-01 12:00:00-04:00,2011-07-02 04:00:00-04:00,15134
2011-07-01 12:00:00-04:00,2011-07-02 05:00:00-04:00,15065
2011-07-01 12:00:00-04:00,2011-07-02 06:00:00-04:00,15103
2011-07-01 12:00:00-04:00,2011-07-02 07:00:00-04:00,15909
2011-07-01 12:00:00-04:00,2011-07-02 08:00:00-04:00,17322
2011-07-01 12:00:00-04:00,2011-07-02 09:00:00-04:00,19027
2011-07-01 12:00:00-04:00,2011-07-02 10:00:00-04:00,20505
2011-07-01 12:00:00-04:00,2011-07-02 11:00:00-04:00,21585
2011-07-01 12:00:00-04:00,2011-07-02 12:00:00-04:00,22231
2011-07-01 12:00:00-04:00,2011-07-02 13:00:00-04:00,22693
2011-07-01 12:00:00-04:00,2011-07-02 14:00:00-04:00,22965
2011-07-01 12:00:00-04:00,2011-07-02 15:00:00-04:00,23227
2011-07-01 12:00:00-04:00,2011-07-02 16:00:00-04:00,23389
2011-07-01 12:00:00-04:00,2011-07-02 17:00:00-04:00,23315
2011-07-01 12:00:00-04:00,2011-07-02 18:00:00-04:00,22894
2011-07-01 12:00:00-04:00,2011-07-02 19:00:00-04:00,22239
2011-07-01 12:00:00-04:00,2011-07-02 20:00:00-04:00,21814
2011-07-01 12:00:00-04:00,2011-07-02 21:00:00-04:00,21958
2011-07-01 12:00:00-04:00,2011-07-02 22:00:00-04:00,21204
2011-07-01 12:00:00-04:00,2011-07-02 23:00:00-04:00,20031
2011-07-02 12:00:00-04:00,2011-07-03 00:00:00-04:00,18272
