Time,RTO
2018-06-01 00:00:00-04:00,85824.931
2018-06-01 01:00:00-04:00,80611.968
2018-06-01 02:00:00-04:00,77403.692
2018-06-01 03:00:00-04:00,75483.798
2018-06-01 04:00:00-04:00,75596.412
2018-06-01 05:00:00-04:00,78998.13
2018-06-01 06:00:00-04:00,84792.422
2018-06-01 07:00:00-04:00,91041.618
2018-06-01 08:00:00-04:00,96180.08
2018-06-01 09:00:00-04:00,99980.671
2018-06-01 10:00:00-04:00,103503.398
2018-06-01 11:00:00-04:00,106593.937
2018-06-01 12:00:00-04:00,109855.889
2018-06-01 13:00:00-04:00,113033.653
2018-06-01 14:00:00-04:00,115890.227
2018-06-01 15:00:00-04:00,117901.311
2018-06-01 16:00:00-04:00,119507.746
2018-06-01 17:00:00-04:00,119311.341
2018-06-01 18:00:00-04:00,116536.751
2018-06-01 19:00:00-04:00,112185.981
2018-06-01 20:00:00-04:00,108441.332
2018-06-01 21:00:00-04:00,105405.976
2018-06-01 22:00:00-04:00,98677.945
2018-06-01 23:00:00-04:00,90750.915
2018-06-02 00:00:00-04:00,83335.71
2018-06-02 01:00:00-04:00,78355.578
2018-06-02 02:00:00-04:00,74881.517
2018-06-02 03:00:00-04:00,72511.285
2018-06-02 04:00:00-04:00,71513.085
2018-06-02 05:00:00-04:00,71832.513
2018-06-02 06:00:00-04:00,72758.228
2018-06-02 07:00:00-04:00,76552.924
2018-06-02 08:00:00-04:00,82519.159
2018-06-02 09:00:00-04:00,88144.095
2018-06-02 10:00:00-04:00,92781.577
2018-06-02 11:00:00-04:00,96452.717
2018-06-02 12:00:00-04:00,99750.638
2018-06-02 13:00:00-04:00,102220.787
2018-06-02 14:00:00-04:00,103794.352
2018-06-02 15:00:00-04:00,104771.475
2018-06-02 16:00:00-04:00,104854.381
2018-06-02 17:00:00-04:00,104076.112
2018-06-02 18:00:00-04:00,101979.883
2018-06-02 19:00:00-04:00,99353.93
2018-06-02 20:00:00-04:00,97006.604
2018-06-02 21:00:00-04:00,95331.147
2018-06-02 22:00:00-04:00,90379.333
2018-06-02 23:00:00-04:00,84023.285
2018-06-03 00:00:00-04:00,77860.257
2018-06-03 01:00:00-04:00,73494.728
2018-06-03 02:00:00-04:00,70277.966
2018-06-03 03:00:00-04:00,68304.277
2018-06-03 04:00:00-04:00,67141.135
2018-06-03 05:00:00-04:00,66697.589
2018-06-03 06:00:00-04:00,66619.311
2018-06-03 07:00:00-04:00,68880.081
2018-06-03 08:00:00-04:00,73154.805
2018-06-03 09:00:00-04:00,77509.395
2018-06-03 10:00:00-04:00,80795.629
2018-06-03 11:00:00-04:00,83503.617
2018-06-03 12:00:00-04:00,85669.395
2018-06-03 13:00:00-04:00,86836.951
2018-06-03 14:00:00-04:00,87460.684
2018-06-03 15:00:00-04:00,88050.09
2018-06-03 16:00:00-04:00,88609.165
2018-06-03 17:00:00-04:00,89213.274
2018-06-03 18:00:00-04:00,88690.906
2018-06-03 19:00:00-04:00,87285.086
2018-06-03 20:00:00-04:00,85849.515
2018-06-03 21:00:00-04:00,84165.849
2018-06-03 22:00:00-04:00,79378.79
2018-06-03 23:00:00-04:00,73463.135
2018-06-04 00:00:00-04:00,68635.968
2018-06-04 01:00:00-04:00,65572.046
2018-06-04 02:00:00-04:00,63748.227
2018-06-04 03:00:00-04:00,63058.454
2018-06-04 04:00:00-04:00,63989.663
2018-06-04 05:00:00-04:00,67592.03
2018-06-04 06:00:00-04:00,73091.778
2018-06-04 07:00:00-04:00,78429.481
2018-06-04 08:00:00-04:00,82029.916
2018-06-04 09:00:00-04:00,84240.773
2018-06-04 10:00:00-04:00,86429.033
2018-06-04 11:00:00-04:00,88280.338
2018-06-04 12:00:00-04:00,89760.104
2018-06-04 13:00:00-04:00,91553.561
2018-06-04 14:00:00-04:00,93548.782
2018-06-04 15:00:00-04:00,95404.411
2018-06-04 16:00:00-04:00,97128.016
2018-06-04 17:00:00-04:00,98446.204
2018-06-04 18:00:00-04:00,98012.744
2018-06-04 19:00:00-04:00,96271.569
2018-06-04 20:00:00-04:00,94108.8
2018-06-04 21:00:00-04:00,92047.409
2018-06-04 22:00:00-04:00,86081.932
2018-06-04 23:00:00-04:00,78183.281
2018-06-05 00:00:00-04:00,72261.324
2018-06-05 01:00:00-04:00,68619.239
2018-06-05 02:00:00-04:00,66316.627
2018-06-05 03:00:00-04:00,65054.187
2018-06-05 04:00:00-04:00,65552.205
2018-06-05 05:00:00-04:00,68806.755
2018-06-05 06:00:00-04:00,74396.43
2018-06-05 07:00:00-04:00,79559.378
2018-06-05 08:00:00-04:00,83104.751
2018-06-05 09:00:00-04:00,85556.507
2018-06-05 10:00:00-04:00,88393.952
2018-06-05 11:00:00-04:00,90312.177
2018-06-05 12:00:00-04:00,91775.136
2018-06-05 13:00:00-04:00,93554.584
2018-06-05 14:00:00-04:00,94697.512
2018-06-05 15:00:00-04:00,95722.068
2018-06-05 16:00:00-04:00,96284.085
2018-06-05 17:00:00-04:00,96483.396
2018-06-05 18:00:00-04:00,95065.45
2018-06-05 19:00:00-04:00,92796.396
2018-06-05 20:00:00-04:00,91148.923
2018-06-05 21:00:00-04:00,89152.17
2018-06-05 22:00:00-04:00,83619.506
2018-06-05 23:00:00-04:00,76654.215
2018-06-06 00:00:00-04:00,71230.454
2018-06-06 01:00:00-04:00,67685.442
2018-06-06 02:00:00-04:00,65635.794
2018-06-06 03:00:00-04:00,64487.959
2018-06-06 04:00:00-04:00,65151.571
2018-06-06 05:00:00-04:00,68090.954
2018-06-06 06:00:00-04:00,73175.806
2018-06-06 07:00:00-04:00,78533.616
2018-06-06 08:00:00-04:00,81848.393
2018-06-06 09:00:00-04:00,84074.409
2018-06-06 10:00:00-04:00,86012.892
2018-06-06 11:00:00-04:00,87563.099
2018-06-06 12:00:00-04:00,89171.892
2018-06-06 13:00:00-04:00,90517.058
2018-06-06 14:00:00-04:00,91577.125
2018-06-06 15:00:00-04:00,92422.025
2018-06-06 16:00:00-04:00,93365.682
2018-06-06 17:00:00-04:00,93306.167
2018-06-06 18:00:00-04:00,92310.722
2018-06-06 19:00:00-04:00,90684.026
2018-06-06 20:00:00-04:00,89661.432
2018-06-06 21:00:00-04:00,88592.714
2018-06-06 22:00:00-04:00,83259.541
2018-06-06 23:00:00-04:00,76759.695
2018-06-07 00:00:00-04:00,71116.178
2018-06-07 01:00:00-04:00,67665.712
2018-06-07 02:00:00-04:00,65713.995
2018-06-07 03:00:00-04:00,64755.638
2018-06-07 04:00:00-04:00,65376.292
2018-06-07 05:00:00-04:00,68677.624
2018-06-07 06:00:00-04:00,74033.468
2018-06-07 07:00:00-04:00,79180.519
2018-06-07 08:00:00-04:00,82529.178
2018-06-07 09:00:00-04:00,85587.183
2018-06-07 10:00:00-04:00,88644.708
2018-06-07 11:00:00-04:00,91393.407
2018-06-07 12:00:00-04:00,93946.531
2018-06-07 13:00:00-04:00,97058.607
2018-06-07 14:00:00-04:00,99538.779
2018-06-07 15:00:00-04:00,102185.782
2018-06-07 16:00:00-04:00,104355.151
2018-06-07 17:00:00-04:00,105321.805
2018-06-07 18:00:00-04:00,104271.617
2018-06-07 19:00:00-04:00,101397.082
2018-06-07 20:00:00-04:00,98384.141
2018-06-07 21:00:00-04:00,96432.64
2018-06-07 22:00:00-04:00,89962.389
2018-06-07 23:00:00-04:00,82182.364
2018-06-08 00:00:00-04:00,75807.733
2018-06-08 01:00:00-04:00,71355.205
2018-06-08 02:00:00-04:00,68672.609
2018-06-08 03:00:00-04:00,67267.155
2018-06-08 04:00:00-04:00,67648.195
2018-06-08 05:00:00-04:00,70568.654
2018-06-08 06:00:00-04:00,75423.471
2018-06-08 07:00:00-04:00,81251.602
2018-06-08 08:00:00-04:00,85763.71
2018-06-08 09:00:00-04:00,90176.756
2018-06-08 10:00:00-04:00,94433.524
2018-06-08 11:00:00-04:00,98665.201
2018-06-08 12:00:00-04:00,102355.305
2018-06-08 13:00:00-04:00,106001.349
2018-06-08 14:00:00-04:00,108385.868
2018-06-08 15:00:00-04:00,110217.717
2018-06-08 16:00:00-04:00,110800.718
2018-06-08 17:00:00-04:00,110001.035
2018-06-08 18:00:00-04:00,107252.228
2018-06-08 19:00:00-04:00,103416.77
2018-06-08 20:00:00-04:00,100703.893
2018-06-08 21:00:00-04:00,98681.988
2018-06-08 22:00:00-04:00,92793.588
2018-06-08 23:00:00-04:00,85326.36
2018-06-09 00:00:00-04:00,78857.267
2018-06-09 01:00:00-04:00,74005.745
2018-06-09 02:00:00-04:00,70743.519
2018-06-09 03:00:00-04:00,68760.54
2018-06-09 04:00:00-04:00,67868.19
2018-06-09 05:00:00-04:00,68181.422
2018-06-09 06:00:00-04:00,69328.761
2018-06-09 07:00:00-04:00,73581.755
2018-06-09 08:00:00-04:00,79304.153
2018-06-09 09:00:00-04:00,85226.988
2018-06-09 10:00:00-04:00,90704.005
2018-06-09 11:00:00-04:00,95351.319
2018-06-09 12:00:00-04:00,98805.652
2018-06-09 13:00:00-04:00,101339.207
2018-06-09 14:00:00-04:00,103388.561
2018-06-09 15:00:00-04:00,104662.716
2018-06-09 16:00:00-04:00,105653.159
2018-06-09 17:00:00-04:00,105433.267
2018-06-09 18:00:00-04:00,103369.481
2018-06-09 19:00:00-04:00,99776.873
2018-06-09 20:00:00-04:00,97051.112
2018-06-09 21:00:00-04:00,94954.493
2018-06-09 22:00:00-04:00,89800.838
2018-06-09 23:00:00-04:00,83161.507
2018-06-10 00:00:00-04:00,77374.611
2018-06-10 01:00:00-04:00,72842.217
2018-06-10 02:00:00-04:00,69785.225
2018-06-10 03:00:00-04:00,67723.661
2018-06-10 04:00:00-04:00,66689.921
2018-06-10 05:00:00-04:00,66462.325
2018-06-10 06:00:00-04:00,66607.71
2018-06-10 07:00:00-04:00,69391.452
2018-06-10 08:00:00-04:00,74137.918
2018-06-10 09:00:00-04:00,79248.981
2018-06-10 10:00:00-04:00,83308.314
2018-06-10 11:00:00-04:00,86655.108
2018-06-10 12:00:00-04:00,89047.575
2018-06-10 13:00:00-04:00,90577.934
2018-06-10 14:00:00-04:00,91145.927
2018-06-10 15:00:00-04:00,91528.105
2018-06-10 16:00:00-04:00,92183.798
2018-06-10 17:00:00-04:00,92489.84
2018-06-10 18:00:00-04:00,91593.32
2018-06-10 19:00:00-04:00,90001.51
2018-06-10 20:00:00-04:00,88934.346
2018-06-10 21:00:00-04:00,87304.892
2018-06-10 22:00:00-04:00,82463.013
2018-06-10 23:00:00-04:00,76661.107
2018-06-11 00:00:00-04:00,72091.856
2018-06-11 01:00:00-04:00,68965.911
2018-06-11 02:00:00-04:00,66997.454
2018-06-11 03:00:00-04:00,66382.486
2018-06-11 04:00:00-04:00,67158.03
2018-06-11 05:00:00-04:00,70698.048
2018-06-11 06:00:00-04:00,76336.937
2018-06-11 07:00:00-04:00,81872.645
2018-06-11 08:00:00-04:00,85452.273
2018-06-11 09:00:00-04:00,87722.036
2018-06-11 10:00:00-04:00,89534.116
2018-06-11 11:00:00-04:00,90363.857
2018-06-11 12:00:00-04:00,91483.049
2018-06-11 13:00:00-04:00,92433.226
2018-06-11 14:00:00-04:00,92286.359
2018-06-11 15:00:00-04:00,92383.945
2018-06-11 16:00:00-04:00,92618.375
2018-06-11 17:00:00-04:00,92664.869
2018-06-11 18:00:00-04:00,91895.18
2018-06-11 19:00:00-04:00,90469.341
